symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
ORCL,STOCK,0.122956,0.11189,-9.0,SELL,1,-0.3884,0.7767,4.6428,-2.9128,1.5947,-3.8467,2.0399,-7.4078,10.1005,19.1488,0.5275,60.0005,-0.0008,-0.0008,-0.2715,-3.8467,2.0399,-5
ORCL,STOCK,0.127875,0.152466,19.2305,SELL,0,-2.5664,1.4044,-2.8509,0.7268,-2.1449,-1.8859,0.0,-1.8859,14.2849,19.1488,0.746,60.8703,-0.0004,-0.0004,0.0822,-1.8859,0.0,-4
ORCL,STOCK,0.167221,0.154925,-7.3531,SELL,1,-0.2684,-0.7288,6.2002,4.3347,10.8036,3.0301,4.6158,3.0301,7.9367,11.9997,0.6614,60.5265,-0.0001,-0.0001,0.6654,3.0301,4.6158,0
ORCL,STOCK,0.238535,0.236076,-1.0309,SELL,1,-0.886,-0.9934,5.9563,4.161,10.3652,6.5935,1.0416,1.0416,8.3797,9.4969,0.8824,60.3769,-0.0007,-0.0007,0.7947,6.5935,1.0416,0
ORCL,STOCK,0.314768,0.331982,5.4688,SELL,0,-0.5007,0.5007,5.8826,2.5436,8.5758,4.0648,0.7874,5.7852,7.0246,7.9164,0.8873,65.3062,-0.0011,-0.0011,0.5485,4.0648,0.7874,0
ORCL,STOCK,0.494284,0.457397,-7.4627,SELL,1,3.8522,4.2744,14.8485,6.0686,21.8181,-1.4707,3.6083,23.313,9.6258,22.7545,0.423,66.1286,-0.0025,-0.0025,0.5187,-1.4707,3.6083,1
ORCL,STOCK,0.118038,0.125415,6.2497,BUY,1,-13.2275,-8.642,-37.9921,-15.344,-47.5066,6.6663,-14.2857,-39.2405,33.3324,51.1111,0.6522,37.5001,0.0032,0.0032,-0.6063,6.6663,-14.2857,-1
ORCL,STOCK,0.186894,0.177057,-5.2634,SELL,1,-1.0308,-0.4811,10.1938,4.4677,15.1169,4.1099,5.5558,-1.2981,10.145,13.4334,0.7552,62.8571,-0.0008,-0.0008,0.5992,4.1099,5.5558,-1
ORCL,STOCK,0.201648,0.216403,7.3172,SELL,0,1.3681,4.1043,6.0375,6.8403,13.2908,-1.2052,6.4937,13.8887,12.1627,15.2781,0.7961,64.7052,-0.0004,-0.0004,0.648,-1.2052,6.4937,0
ORCL,STOCK,2.611592,2.368138,-9.3221,SELL,1,-2.157,-0.1947,2.6761,6.0515,8.8896,6.7874,4.5791,9.7674,12.7389,12.7389,1.0,60.2941,-0.0086,-0.0086,0.9388,6.7874,4.5791,-1
ORCL,STOCK,4.573052,4.23277,-7.441,SELL,1,-1.9525,0.753,-4.1865,-0.6178,-4.7784,-1.4311,-3.7555,0.7313,12.8847,17.4,0.7405,60.7595,-0.007,-0.007,-0.0831,-1.4311,-3.7555,-4
ORCL,STOCK,2.805248,2.647556,-5.6213,BUY,0,0.9393,-1.1916,-23.6083,-5.2292,-27.603,-5.5866,-2.8735,-34.749,10.9792,11.276,0.9737,34.7826,0.0565,0.0565,-0.7352,-5.5866,-2.8735,-1
ORCL,STOCK,2.581159,3.270022,26.6881,BUY,1,-9.1802,-4.0024,-22.2251,-7.4543,-28.0226,3.6667,-15.4891,-14.0884,29.4117,29.4117,1.0,39.3332,0.0202,0.0202,-0.5125,3.6667,-15.4891,-1
ORCL,STOCK,7.69368,7.369998,-4.2071,SELL,1,-1.2545,-0.6146,4.7835,4.0667,9.0447,5.8219,1.4778,-2.8302,8.8028,12.8572,0.6847,66.2921,-0.0392,-0.0392,0.6799,5.8219,1.4778,0
ORCL,STOCK,23.056147,22.48348,-2.4838,SELL,1,3.9233,7.1782,24.4206,14.604,42.591,-2.0106,10.8982,36.7799,23.0469,53.5338,0.4305,64.2269,-0.1806,-0.1806,0.6568,-2.0106,10.8982,-1
ORCL,STOCK,34.708717,28.857525,-16.858,SELL,1,-1.5824,0.0922,14.0784,7.0825,22.158,11.6093,0.1437,6.7381,16.4609,16.4609,1.0,63.2353,-0.2731,-0.2731,0.7163,11.6093,0.1437,-1
ORCL,STOCK,9.106927,6.549343,-28.0839,BUY,0,-2.4572,-3.7583,-11.7378,-5.275,-16.3936,1.1504,-7.3744,-11.0506,10.2376,17.3674,0.5895,38.3966,0.059,0.059,-0.582,1.1504,-7.3744,-2
ORCL,STOCK,8.923673,8.365943,-6.25,BUY,0,1.5575,0.5482,0.0453,-2.5494,-2.5053,-3.6973,0.4484,1.4493,7.2842,7.2842,1.0,39.7591,0.0149,0.0149,-0.5496,-3.6973,0.4484,0
ORCL,STOCK,10.827922,10.73231,-0.883,SELL,1,-0.5094,-0.0037,0.6505,1.0672,1.7246,-1.3788,3.0326,-0.4396,4.394,6.2787,0.6998,63.5899,-0.0095,-0.0095,0.2841,-1.3788,3.0326,-3
ORCL,STOCK,15.648294,15.815621,1.0693,SELL,0,-0.257,0.1791,1.353,1.9756,3.3553,4.8585,1.3415,3.4228,5.0187,5.0187,1.0,62.3953,-0.0134,-0.0134,0.7,4.8585,1.3415,0
ORCL,STOCK,18.0336,16.920506,-6.1723,SELL,1,-0.0979,0.1935,1.4375,2.5431,4.0172,2.6436,1.3045,5.8271,4.4527,5.2337,0.8508,64.4534,-0.0028,-0.0028,1.0348,2.6436,1.3045,0
ORCL,STOCK,33.273376,33.836189,1.6915,BUY,1,0.1871,0.0409,-1.7833,-1.84,-3.5906,-1.7853,-0.975,-3.9059,3.4083,3.4083,1.0,37.7778,0.0155,0.0155,-1.1586,-1.7853,-0.975,1
ORCL,STOCK,36.677628,37.336651,1.7968,SELL,0,-0.1738,2.1514,4.3125,-0.3803,3.9158,-3.2069,-5.3948,3.9595,6.8726,15.7197,0.4372,63.1348,-0.256,-0.256,-0.0379,-3.2069,-5.3948,-4
